"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","592,393","±898","592,393","(X)","3,482,681","±2,094","3,482,681","(X)","84,180","±636","84,180","(X)","1,072,078","±1,039","1,072,078","(X)","820,011","±945","820,011","(X)","1,187,693","±1,588","1,187,693","(X)","154,414","±788","154,414","(X)","105,251","±654","105,251","(X)","76,736","±611","76,736","(X)"
"        Occupied housing units","563,601","±3,221","95.1%","±0.5","3,269,112","±9,173","93.9%","±0.2","79,255","±1,242","94.1%","±1.4","1,018,862","±4,601","95.0%","±0.4","700,584","±5,496","85.4%","±0.6","1,100,858","±5,824","92.7%","±0.5","142,912","±2,222","92.6%","±1.3","96,127","±1,984","91.3%","±1.7","72,228","±1,198","94.1%","±1.4"
"        Vacant housing units","28,792","±2,957","4.9%","±0.5","213,569","±8,417","6.1%","±0.2","4,925","±1,221","5.9%","±1.4","53,216","±4,613","5.0%","±0.4","119,427","±5,293","14.6%","±0.6","86,835","±5,561","7.3%","±0.5","11,502","±2,012","7.4%","±1.3","9,124","±1,790","8.7%","±1.7","4,508","±1,051","5.9%","±1.4"
"    Homeowner vacancy rate","0.9","±0.3","(X)","(X)","1.1","±0.1","(X)","(X)","2.3","±1.2","(X)","(X)","0.8","±0.2","(X)","(X)","2.1","±0.4","(X)","(X)","1.1","±0.2","(X)","(X)","1.4","±0.8","(X)","(X)","0.2","±0.4","(X)","(X)","1.3","±1.2","(X)","(X)"
"    Rental vacancy rate","2.7","±0.6","(X)","(X)","3.3","±0.2","(X)","(X)","3.2","±1.6","(X)","(X)","3.4","±0.6","(X)","(X)","7.1","±1.1","(X)","(X)","3.6","±0.6","(X)","(X)","4.2","±1.7","(X)","(X)","1.6","±1.3","(X)","(X)","2.7","±1.7","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","592,393","±898","592,393","(X)","3,482,681","±2,094","3,482,681","(X)","84,180","±636","84,180","(X)","1,072,078","±1,039","1,072,078","(X)","820,011","±945","820,011","(X)","1,187,693","±1,588","1,187,693","(X)","154,414","±788","154,414","(X)","105,251","±654","105,251","(X)","76,736","±611","76,736","(X)"
"        1-unit, detached","313,770","±4,810","53.0%","±0.8","1,721,143","±12,122","49.4%","±0.3","62,758","±1,870","74.6%","±2.2","546,474","±6,680","51.0%","±0.6","554,243","±5,716","67.6%","±0.7","617,011","±7,800","52.0%","±0.6","87,432","±2,632","56.6%","±1.6","68,745","±2,533","65.3%","±2.4","43,232","±1,798","56.3%","±2.3"
"        1-unit, attached","50,027","±3,248","8.4%","±0.5","233,395","±6,195","6.7%","±0.2","2,028","±595","2.4%","±0.7","128,438","±5,069","12.0%","±0.5","47,669","±2,815","5.8%","±0.3","104,014","±4,658","8.8%","±0.4","10,944","±1,207","7.1%","±0.8","7,656","±1,240","7.3%","±1.2","5,057","±1,192","6.6%","±1.6"
