"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","587,829","±758","587,829","(X)","3,462,431","±2,151","3,462,431","(X)","83,842","±859","83,842","(X)","1,060,030","±812","1,060,030","(X)","811,100","±905","811,100","(X)","1,176,799","±1,482","1,176,799","(X)","153,526","±826","153,526","(X)","104,677","±553","104,677","(X)","75,710","±550","75,710","(X)"
"        Occupied housing units","555,909","±3,185","94.6%","±0.5","3,247,705","±7,125","93.8%","±0.2","77,651","±1,744","92.6%","±1.8","1,003,790","±4,885","94.7%","±0.4","693,585","±6,252","85.5%","±0.8","1,093,386","±5,511","92.9%","±0.5","140,665","±2,428","91.6%","±1.4","93,982","±2,069","89.8%","±1.9","71,024","±1,660","93.8%","±2.0"
"        Vacant housing units","31,920","±2,933","5.4%","±0.5","214,726","±7,003","6.2%","±0.2","6,191","±1,529","7.4%","±1.8","56,240","±4,687","5.3%","±0.4","117,515","±6,259","14.5%","±0.8","83,413","±5,434","7.1%","±0.5","12,861","±2,161","8.4%","±1.4","10,695","±1,976","10.2%","±1.9","4,686","±1,488","6.2%","±2.0"
"    Homeowner vacancy rate","0.9","±0.3","(X)","(X)","1.1","±0.2","(X)","(X)","1.2","±1.5","(X)","(X)","0.7","±0.3","(X)","(X)","2.0","±0.4","(X)","(X)","1.4","±0.3","(X)","(X)","1.5","±0.8","(X)","(X)","1.7","±1.4","(X)","(X)","1.1","±1.0","(X)","(X)"
"    Rental vacancy rate","3.6","±0.7","(X)","(X)","3.7","±0.3","(X)","(X)","4.9","±1.8","(X)","(X)","3.8","±0.6","(X)","(X)","6.0","±0.9","(X)","(X)","4.1","±0.5","(X)","(X)","3.4","±1.2","(X)","(X)","2.0","±1.5","(X)","(X)","2.1","±1.6","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","587,829","±758","587,829","(X)","3,462,431","±2,151","3,462,431","(X)","83,842","±859","83,842","(X)","1,060,030","±812","1,060,030","(X)","811,100","±905","811,100","(X)","1,176,799","±1,482","1,176,799","(X)","153,526","±826","153,526","(X)","104,677","±553","104,677","(X)","75,710","±550","75,710","(X)"
"        1-unit, detached","306,729","±5,188","52.2%","±0.9","1,716,977","±13,348","49.6%","±0.4","63,723","±1,904","76.0%","±2.3","544,032","±7,418","51.3%","±0.7","553,524","±5,459","68.2%","±0.7","596,359","±7,433","50.7%","±0.6","91,909","±2,851","59.9%","±1.9","66,485","±2,314","63.5%","±2.2","43,219","±1,896","57.1%","±2.5"
"        1-unit, attached","45,313","±3,057","7.7%","±0.5","223,727","±5,809","6.5%","±0.2","1,766","±532","2.1%","±0.6","122,869","±4,438","11.6%","±0.4","46,550","±3,041","5.7%","±0.4","106,146","±4,891","9.0%","±0.4","10,367","±1,477","6.8%","±1.0","8,862","±1,450","8.5%","±1.4","5,823","±1,182","7.7%","±1.6"
"        2 units","26,266","±2,623","4.5%","±0.4","80,052","±3,892","2.3%","±0.1","3,330","±991","4.0%","±1.2","16,970","±2,281","1.6%","±0.2","9,769","±1,522","1.2%","±0.2","26,602","±2,913","2.3%","±0.2","4,201","±923","2.7%","±0.6","3,149","±1,051","3.0%","±1.0","1,669","±742","2.2%","±1.0"
"        3 or 4 units","42,240","±3,115","7.2%","±0.5","196,673","±5,568","5.7%","±0.2","3,090","±1,004","3.7%","±1.2","78,938","±4,646","7.4%","±0.4","30,224","±2,865","3.7%","±0.4","64,966","±4,726","5.5%","±0.4","8,985","±1,401","5.9%","±0.9","6,499","±1,573","6.2%","±1.5","5,776","±1,299","7.6%","±1.7"
"        5 to 9 units","33,329","±2,736","5.7%","±0.5","275,645","±8,826","8.0%","±0.3","3,996","±842","4.8%","±1.0","71,648","±4,534","6.8%","±0.4","31,728","±2,968","3.9%","±0.4","100,716","±5,250","8.6%","±0.4","11,415","±1,618","7.4%","±1.1","3,881","±1,191","3.7%","±1.1","5,290","±1,214","7.0%","±1.6"
"        10 to 19 units","29,592","±2,748","5.0%","±0.5","266,919","±8,428","7.7%","±0.2","1,280","±448","1.5%","±0.5","59,914","±4,980","5.7%","±0.5","24,506","±2,195","3.0%","±0.3","76,297","±4,643","6.5%","±0.4","9,958","±1,746","6.5%","±1.1","2,379","±960","2.3%","±0.9","3,277","±994","4.3%","±1.3"
"        20 or more units","95,487","±4,821","16.2%","±0.8","648,710","±10,968","18.7%","±0.3","1,305","±396","1.6%","±0.5","134,607","±4,857","12.7%","±0.5","39,062","±2,729","4.8%","±0.3","160,464","±5,996","13.6%","±0.5","8,779","±1,257","5.7%","±0.8","6,427","±1,298","6.1%","±1.2","6,824","±1,286","9.0%","±1.7"
"        Mobile home","8,459","±1,505","1.4%","±0.3","52,604","±2,826","1.5%","±0.1","5,189","±1,265","6.2%","±1.5","30,566","±2,307","2.9%","±0.2","74,025","±3,808","9.1%","±0.5","43,945","±2,739","3.7%","±0.2","7,793","±1,130","5.1%","±0.7","6,953","±1,302","6.6%","±1.2","3,725","±1,163","4.9%","±1.5"
"        Boat, RV, van, etc.","414","±328","0.1%","±0.1","1,124","±417","0.0%","±0.1","163","±206","0.2%","±0.2","486","±309","0.0%","±0.1","1,712","±643","0.2%","±0.1","1,304","±515","0.1%","±0.1","119","±143","0.1%","±0.1","42","±68","0.0%","±0.1","107","±134","0.1%","±0.2"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","587,829","±758","587,829","(X)","3,462,431","±2,151","3,462,431","(X)","83,842","±859","83,842","(X)","1,060,030","±812","1,060,030","(X)","811,100","±905","811,100","(X)","1,176,799","±1,482","1,176,799","(X)","153,526","±826","153,526","(X)","104,677","±553","104,677","(X)","75,710","±550","75,710","(X)"
"        Built 2010 or later","5,492","±1,067","0.9%","±0.2","21,972","±2,331","0.6%","±0.1","698","±447","0.8%","±0.5","10,975","±1,361","1.0%","±0.1","12,243","±1,796","1.5%","±0.2","10,357","±1,597","0.9%","±0.1","1,162","±485","0.8%","±0.3","490","±337","0.5%","±0.3","937","±534","1.2%","±0.7"
"        Built 2000 to 2009","50,591","±3,488","8.6%","±0.6","208,258","±6,347","6.0%","±0.2","17,667","±1,965","21.1%","±2.4","93,471","±4,408","8.8%","±0.4","216,370","±5,318","26.7%","±0.7","140,505","±4,893","11.9%","±0.4","13,151","±1,661","8.6%","±1.1","9,337","±1,458","8.9%","±1.4","12,352","±1,557","16.3%","±2.0"
"        Built 1990 to 1999","50,879","±3,197","8.7%","±0.5","223,573","±6,879","6.5%","±0.2","13,186","±1,531","15.7%","±1.8","128,744","±5,280","12.1%","±0.5","134,543","±5,982","16.6%","±0.7","145,197","±5,203","12.3%","±0.4","13,495","±1,665","8.8%","±1.1","8,262","±1,133","7.9%","±1.1","12,686","±1,658","16.8%","±2.2"
"        Built 1980 to 1989","64,640","±2,900","11.0%","±0.5","406,144","±9,277","11.7%","±0.3","13,036","±1,570","15.5%","±1.8","160,595","±5,556","15.2%","±0.5","176,988","±5,787","21.8%","±0.7","246,900","±7,533","21.0%","±0.6","23,414","±2,354","15.3%","±1.5","16,084","±2,098","15.4%","±2.0","10,095","±1,359","13.3%","±1.8"
"        Built 1970 to 1979","94,720","±4,363","16.1%","±0.7","495,367","±10,016","14.3%","±0.3","16,007","±1,782","19.1%","±2.1","264,260","±6,832","24.9%","±0.6","124,613","±4,611","15.4%","±0.6","273,608","±8,419","23.3%","±0.7","27,181","±2,138","17.7%","±1.4","22,819","±2,147","21.8%","±2.0","15,542","±1,588","20.5%","±2.1"
"        Built 1960 to 1969","77,460","±3,792","13.2%","±0.6","499,713","±9,179","14.4%","±0.3","7,868","±1,242","9.4%","±1.5","209,296","±5,500","19.7%","±0.5","62,015","±3,983","7.6%","±0.5","143,273","±6,225","12.2%","±0.5","33,221","±2,521","21.6%","±1.6","16,066","±1,906","15.3%","±1.8","10,103","±1,499","13.3%","±2.0"
"        Built 1950 to 1959","79,533","±3,302","13.5%","±0.6","719,693","±11,863","20.8%","±0.3","8,711","±1,407","10.4%","±1.7","143,862","±4,416","13.6%","±0.4","53,447","±3,185","6.6%","±0.4","125,375","±4,500","10.7%","±0.4","21,313","±2,322","13.9%","±1.5","11,582","±1,779","11.1%","±1.7","8,107","±1,325","10.7%","±1.8"
"        Built 1940 to 1949","44,838","±2,901","7.6%","±0.5","373,118","±8,865","10.8%","±0.3","3,553","±837","4.2%","±1.0","22,419","±2,348","2.1%","±0.2","16,045","±1,927","2.0%","±0.2","42,067","±3,170","3.6%","±0.3","8,781","±1,220","5.7%","±0.8","7,299","±1,348","7.0%","±1.3","2,174","±771","2.9%","±1.0"
"        Built 1939 or earlier","119,676","±4,360","20.4%","±0.7","514,593","±8,541","14.9%","±0.2","3,116","±724","3.7%","±0.9","26,408","±2,692","2.5%","±0.3","14,836","±1,680","1.8%","±0.2","49,517","±3,183","4.2%","±0.3","11,808","±1,805","7.7%","±1.2","12,738","±1,851","12.2%","±1.8","3,714","±1,000","4.9%","±1.3"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","587,829","±758","587,829","(X)","3,462,431","±2,151","3,462,431","(X)","83,842","±859","83,842","(X)","1,060,030","±812","1,060,030","(X)","811,100","±905","811,100","(X)","1,176,799","±1,482","1,176,799","(X)","153,526","±826","153,526","(X)","104,677","±553","104,677","(X)","75,710","±550","75,710","(X)"
"        1 room","20,821","±2,651","3.5%","±0.5","179,266","±6,295","5.2%","±0.2","1,377","±574","1.6%","±0.7","20,687","±2,818","2.0%","±0.3","11,214","±1,564","1.4%","±0.2","28,002","±3,631","2.4%","±0.3","5,221","±1,310","3.4%","±0.9","5,505","±1,630","5.3%","±1.6","1,207","±479","1.6%","±0.6"
"        2 rooms","29,117","±2,627","5.0%","±0.4","196,738","±6,385","5.7%","±0.2","712","±386","0.8%","±0.5","32,923","±2,997","3.1%","±0.3","15,981","±2,214","2.0%","±0.3","49,685","±3,614","4.2%","±0.3","6,209","±1,266","4.0%","±0.8","3,257","±1,013","3.1%","±1.0","2,886","±894","3.8%","±1.2"
"        3 rooms","79,694","±4,519","13.6%","±0.8","587,847","±10,952","17.0%","±0.3","5,342","±1,144","6.4%","±1.4","130,894","±5,538","12.3%","±0.5","62,023","±3,353","7.6%","±0.4","152,582","±5,554","13.0%","±0.5","18,567","±2,092","12.1%","±1.4","11,160","±1,651","10.7%","±1.6","8,480","±1,297","11.2%","±1.7"
"        4 rooms","117,385","±5,043","20.0%","±0.9","730,328","±11,223","21.1%","±0.3","12,266","±1,612","14.6%","±1.9","208,830","±7,210","19.7%","±0.7","148,277","±5,998","18.3%","±0.7","231,664","±6,912","19.7%","±0.6","29,805","±2,693","19.4%","±1.7","24,398","±2,254","23.3%","±2.1","15,608","±1,919","20.6%","±2.5"
"        5 rooms","111,140","±4,713","18.9%","±0.8","652,952","±11,204","18.9%","±0.3","22,778","±2,224","27.2%","±2.6","196,157","±6,410","18.5%","±0.6","182,699","±5,915","22.5%","±0.7","218,501","±7,112","18.6%","±0.6","29,626","±2,249","19.3%","±1.5","23,368","±2,069","22.3%","±2.0","15,809","±1,957","20.9%","±2.5"
"        6 rooms","87,903","±4,011","15.0%","±0.7","493,184","±9,645","14.2%","±0.3","19,812","±2,016","23.6%","±2.4","183,635","±6,203","17.3%","±0.6","155,618","±5,317","19.2%","±0.7","164,059","±6,102","13.9%","±0.5","30,564","±3,086","19.9%","±2.0","15,614","±1,502","14.9%","±1.4","12,678","±1,497","16.7%","±2.0"
"        7 rooms","63,775","±3,273","10.8%","±0.6","290,976","±7,657","8.4%","±0.2","12,564","±1,812","15.0%","±2.2","125,268","±4,950","11.8%","±0.5","103,383","±4,471","12.7%","±0.6","124,876","±4,896","10.6%","±0.4","14,765","±1,573","9.6%","±1.0","9,264","±1,396","8.9%","±1.3","7,662","±1,227","10.1%","±1.6"
"        8 rooms","39,307","±2,860","6.7%","±0.5","168,257","±5,413","4.9%","±0.2","4,919","±1,134","5.9%","±1.4","79,604","±3,566","7.5%","±0.3","62,051","±3,904","7.7%","±0.5","79,438","±4,126","6.8%","±0.4","9,508","±1,454","6.2%","±0.9","5,254","±1,150","5.0%","±1.1","5,908","±903","7.8%","±1.2"
"        9 rooms or more","38,687","±2,933","6.6%","±0.5","162,883","±4,570","4.7%","±0.1","4,072","±818","4.9%","±1.0","82,032","±3,738","7.7%","±0.4","69,854","±3,756","8.6%","±0.5","127,992","±5,607","10.9%","±0.5","9,261","±1,209","6.0%","±0.8","6,857","±1,090","6.6%","±1.0","5,472","±952","7.2%","±1.2"
"        Median rooms","4.9","±0.1","(X)","(X)","4.6","±0.1","(X)","(X)","5.5","±0.2","(X)","(X)","5.2","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.1","±0.1","(X)","(X)","5.1","±0.1","(X)","(X)","4.8","±0.2","(X)","(X)","5.1","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","587,829","±758","587,829","(X)","3,462,431","±2,151","3,462,431","(X)","83,842","±859","83,842","(X)","1,060,030","±812","1,060,030","(X)","811,100","±905","811,100","(X)","1,176,799","±1,482","1,176,799","(X)","153,526","±826","153,526","(X)","104,677","±553","104,677","(X)","75,710","±550","75,710","(X)"
"        No bedroom","24,178","±2,811","4.1%","±0.5","203,109","±6,591","5.9%","±0.2","1,763","±602","2.1%","±0.7","22,746","±2,903","2.1%","±0.3","12,630","±1,583","1.6%","±0.2","31,538","±3,827","2.7%","±0.3","5,814","±1,339","3.8%","±0.9","5,743","±1,658","5.5%","±1.6","1,281","±481","1.7%","±0.6"
"        1 bedroom","102,508","±5,387","17.4%","±0.9","708,133","±12,034","20.5%","±0.3","4,925","±1,179","5.9%","±1.4","144,196","±5,851","13.6%","±0.6","65,262","±3,775","8.0%","±0.5","171,013","±5,261","14.5%","±0.4","20,953","±2,048","13.6%","±1.3","11,404","±1,651","10.9%","±1.6","9,397","±1,372","12.4%","±1.8"
"        2 bedrooms","170,165","±5,203","28.9%","±0.9","1,048,059","±11,685","30.3%","±0.3","17,123","±1,929","20.4%","±2.3","294,579","±8,031","27.8%","±0.8","220,313","±6,648","27.2%","±0.8","363,742","±8,968","30.9%","±0.8","41,722","±3,014","27.2%","±1.9","35,576","±2,608","34.0%","±2.5","20,056","±1,946","26.5%","±2.6"
"        3 bedrooms","175,448","±4,923","29.8%","±0.8","972,076","±12,095","28.1%","±0.3","35,998","±2,195","42.9%","±2.5","319,346","±7,261","30.1%","±0.7","279,830","±5,973","34.5%","±0.7","356,420","±6,661","30.3%","±0.6","55,609","±2,548","36.2%","±1.7","37,087","±2,992","35.4%","±2.8","27,908","±2,134","36.9%","±2.8"
"        4 bedrooms","89,534","±4,081","15.2%","±0.7","419,969","±8,780","12.1%","±0.3","21,503","±2,099","25.6%","±2.6","222,587","±5,922","21.0%","±0.6","174,212","±5,719","21.5%","±0.7","197,532","±6,235","16.8%","±0.5","23,202","±1,828","15.1%","±1.2","11,748","±1,505","11.2%","±1.4","13,906","±1,297","18.4%","±1.7"
"        5 or more bedrooms","25,996","±2,379","4.4%","±0.4","111,085","±4,601","3.2%","±0.1","2,530","±967","3.0%","±1.2","56,576","±3,386","5.3%","±0.3","58,853","±4,110","7.3%","±0.5","56,554","±3,512","4.8%","±0.3","6,226","±1,126","4.1%","±0.7","3,119","±881","3.0%","±0.8","3,162","±699","4.2%","±0.9"
