"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","584,631","±801","584,631","(X)","3,449,489","±2,013","3,449,489","(X)","83,583","±264","83,583","(X)","1,050,907","±747","1,050,907","(X)","807,206","±1,090","807,206","(X)","1,168,705","±2,230","1,168,705","(X)","152,856","±687","152,856","(X)","77,340","±464","77,340","(X)","75,542","±341","75,542","(X)"
"    Occupied housing units","545,559","±3,859","93.3%","±0.6","3,201,795","±8,979","92.8%","±0.3","74,833","±1,512","89.5%","±1.8","992,855","±5,422","94.5%","±0.5","684,794","±6,855","84.8%","±0.8","1,061,056","±6,785","90.8%","±0.5","140,889","±2,147","92.2%","±1.3","69,102","±2,048","89.3%","±2.5","70,101","±1,692","92.8%","±2.2"
"    Vacant housing units","39,072","±3,678","6.7%","±0.6","247,694","±8,792","7.2%","±0.3","8,750","±1,473","10.5%","±1.8","58,052","±5,396","5.5%","±0.5","122,412","±6,639","15.2%","±0.8","107,649","±6,020","9.2%","±0.5","11,967","±2,051","7.8%","±1.3","8,238","±1,929","10.7%","±2.5","5,441","±1,700","7.2%","±2.2"
"    Homeowner vacancy rate","1.9","±0.6","(X)","(X)","1.9","±0.2","(X)","(X)","3.3","±1.7","(X)","(X)","1.4","±0.3","(X)","(X)","3.1","±0.6","(X)","(X)","2.1","±0.4","(X)","(X)","0.8","±0.6","(X)","(X)","2.1","±1.6","(X)","(X)","2.2","±1.1","(X)","(X)"
"    Rental vacancy rate","4.2","±0.7","(X)","(X)","4.6","±0.3","(X)","(X)","7.6","±2.1","(X)","(X)","4.2","±0.6","(X)","(X)","8.3","±1.3","(X)","(X)","5.5","±0.6","(X)","(X)","3.0","±1.1","(X)","(X)","6.6","±3.7","(X)","(X)","2.6","±1.8","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","584,631","±801","584,631","(X)","3,449,489","±2,013","3,449,489","(X)","83,583","±264","83,583","(X)","1,050,907","±747","1,050,907","(X)","807,206","±1,090","807,206","(X)","1,168,705","±2,230","1,168,705","(X)","152,856","±687","152,856","(X)","77,340","±464","77,340","(X)","75,542","±341","75,542","(X)"
"    1-unit, detached","309,629","±5,787","53.0%","±1.0","1,703,980","±11,050","49.4%","±0.3","60,319","±1,832","72.2%","±2.2","535,949","±6,337","51.0%","±0.6","544,012","±8,188","67.4%","±1.0","595,723","±6,644","51.0%","±0.6","90,785","±2,929","59.4%","±1.9","51,655","±2,180","66.8%","±2.8","44,547","±1,931","59.0%","±2.5"
"    1-unit, attached","48,035","±3,435","8.2%","±0.6","226,035","±7,548","6.6%","±0.2","1,373","±414","1.6%","±0.5","128,689","±5,689","12.2%","±0.5","50,254","±3,296","6.2%","±0.4","107,318","±5,255","9.2%","±0.5","9,152","±1,454","6.0%","±0.9","3,961","±1,103","5.1%","±1.4","3,554","±857","4.7%","±1.1"
"    2 units","26,600","±2,551","4.5%","±0.4","80,716","±3,815","2.3%","±0.1","4,180","±1,073","5.0%","±1.3","19,150","±2,558","1.8%","±0.2","14,473","±2,692","1.8%","±0.3","25,357","±2,798","2.2%","±0.2","3,654","±838","2.4%","±0.5","1,462","±668","1.9%","±0.9","2,187","±772","2.9%","±1.0"
"    3 or 4 units","38,200","±3,396","6.5%","±0.6","196,048","±6,971","5.7%","±0.2","5,055","±1,256","6.0%","±1.5","72,989","±4,235","6.9%","±0.4","23,433","±2,925","2.9%","±0.4","57,866","±4,344","5.0%","±0.4","10,688","±1,583","7.0%","±1.0","3,967","±1,019","5.1%","±1.3","4,163","±1,124","5.5%","±1.5"
"    5 to 9 units","34,368","±2,560","5.9%","±0.4","275,063","±8,077","8.0%","±0.2","3,193","±783","3.8%","±0.9","65,419","±4,176","6.2%","±0.4","33,903","±3,638","4.2%","±0.4","89,876","±5,334","7.7%","±0.5","13,275","±1,867","8.7%","±1.2","2,755","±1,146","3.6%","±1.5","6,384","±1,278","8.5%","±1.7"
"    10 to 19 units","33,130","±2,861","5.7%","±0.5","266,186","±8,221","7.7%","±0.2","1,972","±795","2.4%","±1.0","62,346","±4,466","5.9%","±0.4","27,379","±3,266","3.4%","±0.4","81,632","±5,545","7.0%","±0.5","8,149","±1,332","5.3%","±0.9","2,140","±936","2.8%","±1.2","4,389","±1,112","5.8%","±1.5"
"    20 or more units","87,444","±4,318","15.0%","±0.7","642,912","±10,265","18.6%","±0.3","1,772","±609","2.1%","±0.7","136,106","±5,587","13.0%","±0.5","38,546","±3,465","4.8%","±0.4","166,137","±5,982","14.2%","±0.5","9,599","±1,449","6.3%","±0.9","2,730","±739","3.5%","±0.9","7,281","±1,382","9.6%","±1.8"
"    Mobile home","6,965","±1,199","1.2%","±0.2","56,540","±2,712","1.6%","±0.1","5,569","±982","6.7%","±1.2","29,579","±2,449","2.8%","±0.2","73,833","±5,209","9.1%","±0.6","43,729","±2,882","3.7%","±0.2","7,386","±1,236","4.8%","±0.8","8,477","±1,331","11.0%","±1.7","2,946","±823","3.9%","±1.1"
"    Boat, RV, van, etc.","260","±238","0.0%","±0.1","2,009","±842","0.1%","±0.1","150","±155","0.2%","±0.2","680","±459","0.1%","±0.1","1,373","±751","0.2%","±0.1","1,067","±544","0.1%","±0.1","168","±178","0.1%","±0.1","193","±192","0.2%","±0.2","91","±77","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","584,631","±801","584,631","(X)","3,449,489","±2,013","3,449,489","(X)","83,583","±264","83,583","(X)","1,050,907","±747","1,050,907","(X)","807,206","±1,090","807,206","(X)","1,168,705","±2,230","1,168,705","(X)","152,856","±687","152,856","(X)","77,340","±464","77,340","(X)","75,542","±341","75,542","(X)"
"    Built 2005 or later","23,648","±2,400","4.0%","±0.4","114,581","±5,904","3.3%","±0.2","10,004","±1,553","12.0%","±1.9","41,366","±3,347","3.9%","±0.3","94,615","±6,102","11.7%","±0.8","58,438","±3,524","5.0%","±0.3","6,246","±1,094","4.1%","±0.7","4,423","±1,034","5.7%","±1.3","6,191","±1,540","8.2%","±2.0"
