"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","605,767","±422","605,767","(X)","3,559,790","±989","3,559,790","(X)","86,691","±193","86,691","(X)","1,101,244","±541","1,101,244","(X)","845,066","±1,119","845,066","(X)","1,215,528","±822","1,215,528","(X)","159,317","±449","159,317","(X)","78,488","±262","78,488","(X)","78,565","±273","78,565","(X)"
"        Occupied housing units","573,174","±1,395","94.6%","±0.2","3,332,504","±5,051","93.6%","±0.1","81,306","±615","93.8%","±0.7","1,040,001","±2,374","94.4%","±0.2","736,413","±2,254","87.1%","±0.2","1,130,703","±2,942","93.0%","±0.2","148,309","±891","93.1%","±0.5","70,845","±699","90.3%","±0.8","74,614","±619","95.0%","±0.7"
"        Vacant housing units","32,593","±1,350","5.4%","±0.2","227,286","±5,090","6.4%","±0.1","5,385","±589","6.2%","±0.7","61,243","±2,455","5.6%","±0.2","108,653","±1,985","12.9%","±0.2","84,825","±2,808","7.0%","±0.2","11,008","±733","6.9%","±0.5","7,643","±618","9.7%","±0.8","3,951","±580","5.0%","±0.7"
"        Homeowner vacancy rate","0.7","±0.1","(X)","(X)","1.0","±0.1","(X)","(X)","1.0","±0.4","(X)","(X)","1.0","±0.1","(X)","(X)","1.7","±0.2","(X)","(X)","0.9","±0.1","(X)","(X)","0.7","±0.2","(X)","(X)","1.3","±0.5","(X)","(X)","0.9","±0.4","(X)","(X)"
"        Rental vacancy rate","3.6","±0.4","(X)","(X)","3.7","±0.1","(X)","(X)","3.2","±0.8","(X)","(X)","3.8","±0.3","(X)","(X)","4.7","±0.4","(X)","(X)","3.8","±0.3","(X)","(X)","2.7","±0.5","(X)","(X)","4.6","±1.3","(X)","(X)","2.5","±0.9","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","605,767","±422","605,767","(X)","3,559,790","±989","3,559,790","(X)","86,691","±193","86,691","(X)","1,101,244","±541","1,101,244","(X)","845,066","±1,119","845,066","(X)","1,215,528","±822","1,215,528","(X)","159,317","±449","159,317","(X)","78,488","±262","78,488","(X)","78,565","±273","78,565","(X)"
"        1-unit, detached","316,025","±2,401","52.2%","±0.4","1,724,114","±6,112","48.4%","±0.2","65,075","±887","75.1%","±1.0","557,082","±3,623","50.6%","±0.3","581,450","±2,828","68.8%","±0.3","617,009","±3,574","50.8%","±0.3","91,448","±1,385","57.4%","±0.9","54,766","±782","69.8%","±1.0","46,009","±868","58.6%","±1.1"
"        1-unit, attached","52,969","±1,462","8.7%","±0.2","224,052","±2,656","6.3%","±0.1","1,899","±295","2.2%","±0.3","138,091","±2,661","12.5%","±0.2","44,879","±1,335","5.3%","±0.2","124,278","±2,616","10.2%","±0.2","11,256","±795","7.1%","±0.5","1,853","±259","2.4%","±0.3","5,558","±511","7.1%","±0.7"
