"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","583,618","±925","583,618","(X)","3,444,644","±1,999","3,444,644","(X)","83,571","±1,069","83,571","(X)","1,052,535","±959","1,052,535","(X)","805,050","±953","805,050","(X)","1,169,225","±1,389","1,169,225","(X)","152,699","±726","152,699","(X)","104,286","±642","104,286","(X)","75,265","±495","75,265","(X)"
"    Occupied housing units","548,274","±3,439","93.9%","±0.6","3,231,660","±7,188","93.8%","±0.2","76,451","±1,882","91.5%","±1.6","995,368","±4,462","94.6%","±0.4","685,260","±5,695","85.1%","±0.7","1,079,653","±5,725","92.3%","±0.5","141,639","±1,840","92.8%","±1.1","93,253","±1,926","89.4%","±1.7","71,568","±1,351","95.1%","±1.6"
"    Vacant housing units","35,344","±3,281","6.1%","±0.6","212,984","±7,189","6.2%","±0.2","7,120","±1,340","8.5%","±1.6","57,167","±4,389","5.4%","±0.4","119,790","±5,608","14.9%","±0.7","89,572","±5,419","7.7%","±0.5","11,060","±1,702","7.2%","±1.1","11,033","±1,796","10.6%","±1.7","3,697","±1,228","4.9%","±1.6"
"    Homeowner vacancy rate","1.5","±0.4","(X)","(X)","1.4","±0.1","(X)","(X)","2.0","±1.2","(X)","(X)","1.2","±0.3","(X)","(X)","2.2","±0.5","(X)","(X)","1.8","±0.4","(X)","(X)","0.9","±0.7","(X)","(X)","1.6","±1.0","(X)","(X)","0.9","±0.9","(X)","(X)"
"    Rental vacancy rate","3.8","±0.6","(X)","(X)","4.0","±0.2","(X)","(X)","5.4","±2.2","(X)","(X)","3.5","±0.4","(X)","(X)","5.9","±0.8","(X)","(X)","4.5","±0.5","(X)","(X)","2.9","±1.1","(X)","(X)","2.7","±1.6","(X)","(X)","2.5","±1.6","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","583,618","±925","583,618","(X)","3,444,644","±1,999","3,444,644","(X)","83,571","±1,069","83,571","(X)","1,052,535","±959","1,052,535","(X)","805,050","±953","805,050","(X)","1,169,225","±1,389","1,169,225","(X)","152,699","±726","152,699","(X)","104,286","±642","104,286","(X)","75,265","±495","75,265","(X)"
"    1-unit, detached","307,977","±4,991","52.8%","±0.9","1,700,617","±12,525","49.4%","±0.4","62,363","±1,906","74.6%","±2.0","529,885","±7,135","50.3%","±0.7","549,929","±6,080","68.3%","±0.8","601,003","±7,914","51.4%","±0.7","87,341","±2,586","57.2%","±1.7","69,234","±2,610","66.4%","±2.4","44,163","±2,316","58.7%","±3.1"
"    1-unit, attached","43,246","±2,998","7.4%","±0.5","218,403","±6,089","6.3%","±0.2","2,580","±657","3.1%","±0.8","122,508","±4,664","11.6%","±0.4","49,577","±2,855","6.2%","±0.4","103,413","±5,205","8.8%","±0.4","11,154","±1,581","7.3%","±1.0","8,834","±1,353","8.5%","±1.3","4,922","±837","6.5%","±1.1"
"    2 units","22,530","±2,177","3.9%","±0.4","86,563","±4,526","2.5%","±0.1","2,563","±820","3.1%","±1.0","19,455","±1,811","1.8%","±0.2","11,336","±1,531","1.4%","±0.2","25,069","±2,941","2.1%","±0.3","6,431","±1,472","4.2%","±1.0","3,517","±1,011","3.4%","±1.0","2,816","±1,047","3.7%","±1.4"
"    3 or 4 units","39,143","±3,026","6.7%","±0.5","195,220","±7,191","5.7%","±0.2","3,736","±1,014","4.5%","±1.2","74,807","±4,413","7.1%","±0.4","25,407","±2,429","3.2%","±0.3","56,475","±3,928","4.8%","±0.3","9,970","±1,506","6.5%","±1.0","4,955","±1,135","4.8%","±1.1","4,727","±1,156","6.3%","±1.5"
"    5 to 9 units","37,162","±3,137","6.4%","±0.5","275,194","±6,986","8.0%","±0.2","3,960","±902","4.7%","±1.1","76,061","±4,090","7.2%","±0.4","32,277","±2,992","4.0%","±0.4","90,089","±4,923","7.7%","±0.4","11,973","±1,943","7.8%","±1.3","2,603","±733","2.5%","±0.7","5,558","±1,180","7.4%","±1.6"
"    10 to 19 units","30,982","±2,757","5.3%","±0.5","269,608","±8,901","7.8%","±0.3","1,320","±506","1.6%","±0.6","60,085","±4,321","5.7%","±0.4","26,332","±2,698","3.3%","±0.3","85,768","±4,470","7.3%","±0.4","7,251","±1,437","4.7%","±0.9","2,584","±905","2.5%","±0.9","3,475","±1,148","4.6%","±1.5"
"    20 or more units","94,805","±3,682","16.2%","±0.6","644,940","±10,541","18.7%","±0.3","2,326","±819","2.8%","±1.0","143,404","±5,105","13.6%","±0.5","38,125","±3,013","4.7%","±0.4","160,067","±5,242","13.7%","±0.4","10,410","±1,461","6.8%","±1.0","6,467","±1,042","6.2%","±1.0","6,382","±1,109","8.5%","±1.5"
"    Mobile home","7,508","±1,113","1.3%","±0.2","51,707","±2,918","1.5%","±0.1","4,697","±991","5.6%","±1.2","25,589","±1,952","2.4%","±0.2","70,694","±4,090","8.8%","±0.5","46,367","±3,005","4.0%","±0.3","8,089","±1,221","5.3%","±0.8","5,711","±1,211","5.5%","±1.2","2,849","±756","3.8%","±1.0"
